decision_id,decision_date,document_category,title,applicant,sanction_strength,sanction_types,monetary_amount,violated_articles,case_type,raw_xml_path
6395,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료,3600000.0,제39조의4;제48조의4;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/6395.xml
6397,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료,3000000.0,제39조의4;제48조의4;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/6397.xml
6399,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료;공표명령,6300000.0,제29조;제2조;제39조의4;제3조;제48조의2;제48조의4;제4조;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/6399.xml
6401,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료,5400000.0,제29조;제2조;제39조의4;제3조;제48조의2;제48조의4;제4조;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/6401.xml
6403,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료,600000.0,제29조;제2조;제3조;제48조의2;제4조;제63조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/6403.xml
7939,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜코다스디자인 (사업자등록번호 : )대표자,4,과징금;과태료;공표명령,6600000.0,제29조;제2조;제39조의15;제39조의4;제48조의11;제48조의2;제48조의4;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/7939.xml
7943,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜스피드옥션 (사업자등록번호 : )대표자,4,과징금;과태료;공표명령,7800000.0,제29조;제2조;제39조의15;제39조의4;제48조의11;제48조의2;제48조의4;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/7943.xml
8395,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료;공표명령,3600000.0,제29조;제2조;제39조의4;제3조;제48조의2;제48조의4;제4조;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8395.xml
8397,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료,1800000.0,제39조의4;제3조;제48조의4;제63조;제6조;제75조;제7조,유출·침해;동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/8397.xml
8399,2023-12-13,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,,4,과태료;공표명령,4500000.0,제29조;제2조;제39조의4;제3조;제48조의2;제48조의4;제4조;제63조;제66조;제6조;제75조;제7조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8399.xml
