law_name,count
생명윤리 및 안전에 관한 법률 시행규칙,3
의료급여법 시행규칙,3
관광진흥법 시행령,3
부가가치세법 시행규칙,3
독립유공자예우에 관한 법률 시행규칙,3
데이터기반행정 활성화에 관한 법률,3
지속가능한 연근해어업 발전법,3
지하수법 시행규칙,3
의료기기 유통 및 판매질서 유지에 관한 규칙,3
출입국관리법,3
부가가치세법 시행령,3
저작권법 시행령,3
국민체육진흥법 시행령,3
환경분야 시험ㆍ검사 등에 관한 법률 시행규칙,3
지방세징수법 시행규칙,3
전자정부법 시행령,3
정보통신공사업법 시행령,3
노후계획도시 정비 및 지원에 관한 특별법 시행령,3
국립묘지의 설치 및 운영에 관한 법률 시행규칙,3
민원 처리에 관한 법률 시행령,3
생활물류서비스산업발전법 시행규칙,3
소방공무원 보건안전 및 복지 기본법 시행령,3
지방공무원 임용령,3
어선원 및 어선 재해보상보험법 시행규칙,3
소비자생활협동조합법 시행규칙,3
지방행정제재ㆍ부과금의 징수 등에 관한 법률 시행규칙,3
데이터 산업진흥 및 이용촉진에 관한 기본법 시행령,3
형의 집행 및 수용자의 처우에 관한 법률 시행규칙,3
부패방지 및 국민권익위원회의 설치와 운영에 관한 법률 시행령,3
자율주행자동차 상용화 촉진 및 지원에 관한 법률 시행규칙,3
데이터 산업진흥 및 이용촉진에 관한 기본법 시행규칙,3
아동복지법 시행규칙,3
방위사업법 시행규칙,3
학교 밖 청소년 지원에 관한 법률 시행규칙,3
상속세 및 증여세법,3
소상공인 보호 및 지원에 관한 법률 시행령,3
실용신안법 시행규칙,3
검찰압수물사무규칙,3
원자력안전법 시행령,3
기후ㆍ기후변화 감시 및 예측 등에 관한 법률 시행규칙,3
국가유산수리 등에 관한 법률 시행규칙,3
화재의 예방 및 안전관리에 관한 법률 시행규칙,3
전통시장 및 상점가 육성을 위한 특별법 시행규칙,3
건강가정기본법 시행령,3
전기용품 및 생활용품 안전관리법 시행규칙,2
법원이 재판권을 가지는 군인 등의 범죄에 대한 수사절차 등에 관한 규정,2
전자정부법 시행규칙,2
조세특례제한법 시행령,2
콘텐츠산업 진흥법 시행령,2
동물용 의약품등 취급규칙,2
군사경찰의 직무수행에 관한 법률 시행령,2
공동주택관리법 시행령,2
전자상거래 등에서의 소비자보호에 관한 법률 시행령,2
도서관법 시행규칙,2
외국인근로자의 고용 등에 관한 법률 시행규칙,2
건설기계관리법 시행규칙,2
공무원연금법 시행령,2
행정사법 시행령,2
국적법 시행령,2
국토의 계획 및 이용에 관한 법률 시행규칙,2
군용비행장ㆍ군사격장 소음 방지 및 피해 보상에 관한 법률 시행령,2
기초연구진흥 및 기술개발지원에 관한 법률 시행규칙,2
생활주변방사선 안전관리법 시행규칙,2
산림복지 진흥에 관한 법률 시행규칙,2
국가공무원법,2
직업안정법 시행령,2
해사안전법 시행규칙,2
우편법 시행령,2
도시교통정비 촉진법 시행규칙,2
건설산업기본법 시행규칙,2
자살예방 및 생명존중문화 조성을 위한 법률 시행령,2
중소기업창업 지원법 시행령,2
재외동포의 출입국과 법적지위에 관한법률 시행규칙,2
공공주택 특별법 시행령,2
농업ㆍ농촌 공익기능 증진 직접지불제도 운영에 관한 법률 시행령,2
법률구조법 시행규칙,2
의료법 시행령,2
우주개발 진흥법 시행규칙,2
공무원 재해보상법 시행령,2
주세법 시행규칙,2
관세법 시행규칙,2
증권거래세법 시행규칙,2
