decision_id,decision_date,year,document_category,sanction_strength,monetary_amount,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied,issue_id,issue_label
10377,2025-04-23,2025,enforcement,4,6600000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10379,2025-06-11,2025,enforcement,4,5400000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10395,2026-01-28,2026,enforcement,4,703000000.0,1,1,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10397,2026-01-28,2026,enforcement,4,703000000.0,1,1,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10399,2026-01-28,2026,enforcement,4,703000000.0,1,1,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10401,2025-10-22,2025,enforcement,4,463000000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10403,2025-12-10,2025,enforcement,4,6900000.0,1,1,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10407,2026-03-11,2026,other,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
1041,2018-01-08,2018,enforcement,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
10415,2026-03-25,2026,enforcement,4,5400000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10417,2026-03-25,2026,enforcement,4,1800000.0,1,1,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10423,2026-03-25,2026,enforcement,2,,0,0,1,1,1,0,0,2,대규모 유출과 과징금 비례성
10425,2026-03-25,2026,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10429,2025-11-20,2025,enforcement,4,3600000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10431,2025-09-24,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10433,2025-11-20,2025,enforcement,4,2700000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10435,2025-11-26,2025,enforcement,4,1800000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10437,2025-11-20,2025,enforcement,4,3600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10439,2025-12-10,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10441,2026-01-28,2026,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10443,2025-11-26,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10445,2026-01-28,2026,enforcement,4,3600000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10447,2026-04-08,2026,enforcement,4,1800000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10449,2026-04-08,2026,enforcement,4,3600000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10451,2026-04-08,2026,enforcement,4,1800000.0,1,1,0,1,1,0,0,2,대규모 유출과 과징금 비례성
10453,2026-03-25,2026,enforcement,4,3600000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10455,2026-01-28,2026,enforcement,4,8700000.0,1,1,0,0,1,0,0,2,대규모 유출과 과징금 비례성
